major,ccode,year,milcap_minor,milcap,future_power,troops,country,cinc,pact,exports,imports,m,hostlev,cow_mid,cow_mid4,future_power_riv,milcap_riv,edge,new_troops,ideal1,ideal2,pec,growth,region
2,20,1981,.53078151,16.232428,13.909039,0,Canada,.0122387,1,39.563999,46.827,.25939941,,0,0,21.109041,23.251524,1,0,2.6900001,1.798,2713720,-.031003986,1
2,20,1982,.55327874,16.829098,14.849285,0,Canada,.0116481,1,33.720001,46.792,.26218539,,0,0,21.228876,22.669056,1,0,2.6070001,1.697,2594129,-.045069572,1
2,20,1983,.55783463,17.579082,15.309394,0,Canada,.0118277,1,38.243999,52.546001,.26093149,,0,0,20.741186,22.75301,1,0,2.608,1.6849999,2597045,.0011234455,1
2,20,1984,.58307666,18.352732,15.971585,0,Canada,.0118372,1,46.523998,66.911003,.2649695,,0,0,20.816816,22.984612,1,0,2.78,1.723,3177672,.2017746,1
2,20,1985,.58218193,19.634354,16.632813,0,Canada,.0114103,1,47.250999,69.427002,.26231551,,0,0,20.964302,24.489439,1,0,2.7690001,1.676,3161485,-.0051069991,1
2,20,1986,.57290566,19.648266,17.741415,0,Canada,.0115082,1,45.333,68.662003,.2684896,,0,0,22.285892,23.818037,1,0,2.8800001,1.596,3285852,.038584124,1
2,20,1987,.58804554,19.03813,17.746319,0,Canada,.0117335,1,59.813999,71.510002,.27435011,2,1,0,21.703922,23.490671,1,0,2.961,1.587,3430381,.043045353,1
2,20,1988,.62094057,18.851377,17.219122,0,Canada,.0118674,1,69.683998,81.43,.28155771,4,1,1,21.414261,23.629602,1,0,2.9219999,1.4529999,3725148,.08243525,1
2,20,1989,.77350938,23.19113,17.068205,0,Canada,.0123878,1,78.265999,89.550003,.28287819,4,1,1,21.513996,14.27513,1,0,3.0039999,1.401,3844484,.031532813,1
2,20,1990,.76692295,21.137386,20.86722,0,Canada,.0116063,1,82.959,93.779999,.28316051,5,1,1,13.266179,13.67587,1,0,2.9360001,1.337,3936181,.023571569,1
2,20,1991,.85419613,19.884747,19.065012,0,Canada,.0123652,1,85.146004,93.736,.2787855,1,1,0,12.520503,13.844453,1,0,2.7780001,1.318,4041865,.026495256,1
2,20,1992,.84258682,22.716059,18.049181,0,Canada,.0124408,1,90.155998,101.292,.2658523,3,1,0,12.50408,6.9361267,1,0,2.793,1.279,4154138,.027398726,1
2,20,1993,.81588942,24.151173,20.498581,0,Canada,.0124252,1,100.19,113.617,.25355461,4,1,1,6.3792391,5.1286535,1,0,2.773,1.176,4430624,.064435489,1
